Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
0700.HK,340.0,2018/08/31,16:08 HKT,-17.399994,339.6,343.6,338.0,51544845,,,,,,,
TCEHY,43.14,2018/08/31,16:00 EDT,0.15879822,43.09,43.15,42.28,8848819,,,,,,,
BABA,175.01,2018/08/31,16:01 EDT,0.4099884,173.11,176.681,172.76,13730845,,,,,,,
NFLX,367.68,2018/08/31,16:00 EDT,-3.3000183,370.66,376.0,367.0766,7845174,,,,,,,
AAPL,227.63,2018/08/31,16:00 EDT,2.600006,226.51,228.87,226.0,35244118,,,,,,,
FB,175.73,2018/08/31,16:00 EDT,-1.9100037,177.15,177.62,174.9815,17869878,,,,,,,
TSLA,301.66,2018/08/31,16:00 EDT,-1.4899902,302.0,305.29,298.6,5375104,,,,,,,
NVDA,280.68,2018/08/31,16:00 EDT,2.869995,277.0,281.2,276.6,7554876,,,,,,,
IBM,146.48,2018/08/31,16:01 EDT,0.55000305,145.72,146.78,145.5401,3488476,,,,,,,
INTC,48.43,2018/08/31,16:00 EDT,0.18999863,47.96,48.56,47.92,15803916,,,,,,,
AMZN,2012.71,2018/08/31,16:00 EDT,10.329956,2007.0,2022.38,2004.74,4204378,,,,,,,
GOOG,1218.19,2018/08/31,16:00 EDT,-20.930054,1234.98,1236.64,1211.2854,1573716,,,,,,,
